Length,Reads,Sequences,Category,Source
0,90449,1,s (Short),SRR3222443
1,1098,5,s (Short),SRR3222443
2,14799,19,s (Short),SRR3222443
3,5707,67,s (Short),SRR3222443
4,12141,231,s (Short),SRR3222443
5,16862,652,s (Short),SRR3222443
6,68280,1603,s (Short),SRR3222443
7,74675,3148,s (Short),SRR3222443
8,44608,5608,s (Short),SRR3222443
9,56808,8575,s (Short),SRR3222443
10,90404,12236,s (Short),SRR3222443
11,92688,16465,s (Short),SRR3222443
0,66431,1,s (Short),SRR3222444
1,730,5,s (Short),SRR3222444
2,11617,18,s (Short),SRR3222444
3,5168,66,s (Short),SRR3222444
4,13026,231,s (Short),SRR3222444
5,14334,679,s (Short),SRR3222444
6,94969,1602,s (Short),SRR3222444
7,126225,3656,s (Short),SRR3222444
8,73070,7336,s (Short),SRR3222444
9,95682,12506,s (Short),SRR3222444
10,146905,18800,s (Short),SRR3222444
11,163978,25474,s (Short),SRR3222444
0,158508,1,s (Short),SRR3222445
1,1854,5,s (Short),SRR3222445
2,16562,18,s (Short),SRR3222445
3,13936,69,s (Short),SRR3222445
4,36308,259,s (Short),SRR3222445
5,31106,878,s (Short),SRR3222445
6,120348,2323,s (Short),SRR3222445
7,136151,5214,s (Short),SRR3222445
8,98266,9494,s (Short),SRR3222445
9,131618,15395,s (Short),SRR3222445
10,235703,23408,s (Short),SRR3222445
11,249085,32311,s (Short),SRR3222445
12,185676,51035,t (Trimmed OK),SRR3222443
13,207580,30355,t (Trimmed OK),SRR3222443
14,322183,24773,t (Trimmed OK),SRR3222443
15,190315,23202,t (Trimmed OK),SRR3222443
16,228952,24385,t (Trimmed OK),SRR3222443
17,127595,25900,t (Trimmed OK),SRR3222443
18,130734,27949,t (Trimmed OK),SRR3222443
19,129920,33335,t (Trimmed OK),SRR3222443
20,227144,42869,t (Trimmed OK),SRR3222443
21,1056386,98355,t (Trimmed OK),SRR3222443
22,341596,125456,t (Trimmed OK),SRR3222443
23,527524,250363,t (Trimmed OK),SRR3222443
24,1971656,704573,t (Trimmed OK),SRR3222443
25,125098,50983,t (Trimmed OK),SRR3222443
26,88641,18962,t (Trimmed OK),SRR3222443
27,72478,14226,t (Trimmed OK),SRR3222443
28,58402,12709,t (Trimmed OK),SRR3222443
